"Date","Mean","Lower95","Upper95"
2025.66666666667,601576.634613457,572960.640993859,631621.827784034
2025.75,634991.977930772,599979.623061214,672047.510512362
2025.83333333333,643557.154319582,605256.541221845,684281.428895973
2025.91666666667,710471.067366842,661592.347041998,762960.968067754
2026,580825.467198662,537876.748190149,627203.582385164
2026.08333333333,566573.939294145,521899.274158661,615072.76323534
2026.16666666667,648636.302843385,593903.751679202,708412.856757963
2026.25,636087.996177534,579616.24862031,698061.760422106
2026.33333333333,675663.044802317,612740.889623198,745046.654862993
2026.41666666667,652891.599199841,589300.194324444,723345.154831292
2026.5,663663.228844053,596446.050237949,738455.525263349
2026.58333333333,671580.688223234,601013.441243051,750433.500890704
